القطاع,القسم,الإدارة,التنظيم الإداري,اسم العقد,المقاول الرئيسي,اسم المشروع,التصنيف الاقتصادي,رأسمالي / تشغيلي,التصنيف الصناعي,قيمة الارتباط,المدة,تاريخ الترسية,تاريخ نهاية العقد
الداخلية,الخدمات,أبها,إقليمي,عقد رقم 2020-011,مجموعة الزامل,صيانة المباني,مشاريع البنية التحتية,مختلط,خدمات متخصصة,1300000,48,2024-06-10,2028-05-20
الصحة,العمليات,تبوك,فرعي,عقد رقم 2020-012,شركة الفطيم للمقاولات,صيانة المباني,التطوير والصيانة,مختلط,صيانة,4850000,24,2024-03-17,2026-03-07
البلدية,الخدمات,حائل,فرعي,عقد رقم 2020-013,شركة الراجحي للمقاولات,الخدمات الكهربائية,الخدمات العامة,مختلط,خدمات متخصصة,30020000,6,2022-11-05,2023-05-04
الدفاع,العمليات,مكة,مركزي,عقد رقم 2020-014,مجموعة العليان,ترميم وتجديد,مشاريع البنية التحتية,رأسمالي,مقاولات عامة,730000,36,2020-01-02,2022-12-17
البلدية,المشاريع,الدمام,محلي,عقد رقم 2020-015,مجموعة الزامل,إنشاءات جديدة,التطوير والصيانة,مختلط,خدمات متخصصة,45740000,6,2024-07-29,2025-01-25
الإسكان,العمليات,تبوك,إقليمي,عقد رقم 2020-016,شركة الفطيم للمقاولات,صيانة دورية,المشاريع الاستراتيجية,رأسمالي,صيانة,23490000,18,2022-05-16,2023-11-07
النقل,المشاريع,حائل,فرعي,عقد رقم 2020-017,شركة بن لادن السعودية,تطوير البنية التحتية,مشاريع البنية التحتية,رأسمالي,إنشاءات,1730000,6,2021-04-05,2021-10-02
الدفاع,التطوير,مكة,فرعي,عقد رقم 2020-018,شركة المباني الحديثة,ترميم وتجديد,الصيانة الدورية,تشغيلي,صيانة,170000,36,2020-03-05,2023-02-18
الصحة,الصيانة,تبوك,إقليمي,عقد رقم 2020-019,مجموعة صافولا,أعمال السباكة,المشاريع الاستراتيجية,مختلط,إنشاءات,3590000,60,2024-05-25,2029-04-29
الدفاع,الصيانة,مكة,فرعي,عقد رقم 2020-020,مجموعة العليان,صيانة دورية,المشاريع الاستراتيجية,رأسمالي,مقاولات عامة,430000,6,2023-10-11,2024-04-08
الداخلية,الخدمات,جدة,مركزي,عقد رقم 2020-021,مؤسسة محمد الموسى,صيانة دورية,مشاريع البنية التحتية,رأسمالي,صيانة,650000,24,2021-01-10,2022-12-31
البلدية,التطوير,الرياض,فرعي,عقد رقم 2020-022,مجموعة صافولا,صيانة المباني,المشاريع الاستراتيجية,تشغيلي,مقاولات عامة,940000,48,2020-12-06,2024-11-15
البلدية,الخدمات,أبها,فرعي,عقد رقم 2020-023,مجموعة العليان,أنظمة التكييف,الخدمات العامة,رأسمالي,خدمات متخصصة,8120000,48,2021-08-07,2025-07-17
الصحة,الخدمات,أبها,فرعي,عقد رقم 2020-024,شركة بن لادن السعودية,صيانة دورية,مشاريع البنية التحتية,رأسمالي,إنشاءات,2470000,3,2024-02-15,2024-05-15
الداخلية,الصيانة,حائل,فرعي,عقد رقم 2020-025,شركة النهدي للتطوير,ترميم وتجديد,مشاريع البنية التحتية,مختلط,إنشاءات,3970000,6,2023-05-03,2023-10-30
الإسكان,العمليات,مكة,إقليمي,عقد رقم 2020-026,مجموعة صافولا,إنشاءات جديدة,التطوير والصيانة,تشغيلي,خدمات فنية,23700000,36,2022-05-08,2025-04-22
النقل,الصيانة,جدة,فرعي,عقد رقم 2020-027,مجموعة الزامل,أنظمة التكييف,الخدمات العامة,تشغيلي,إنشاءات,370000,6,2024-03-19,2024-09-15
الداخلية,الخدمات,المدينة,مركزي,عقد رقم 2020-028,مؤسسة محمد الموسى,صيانة دورية,التطوير والصيانة,مختلط,إنشاءات,830000,18,2024-12-05,2026-05-29
الإسكان,الخدمات,الدمام,إقليمي,عقد رقم 2020-029,شركة عبدالله عبدالمحسن الخضري,ترميم وتجديد,الخدمات العامة,مختلط,خدمات فنية,100000,12,2024-12-03,2025-11-28
البلدية,الصيانة,جدة,محلي,عقد رقم 2020-030,شركة عبدالله عبدالمحسن الخضري,صيانة المباني,مشاريع البنية التحتية,تشغيلي,صيانة,1020000,24,2021-02-20,2023-02-10
النقل,التطوير,القصيم,مركزي,عقد رقم 2020-031,مجموعة السعودي الفرنسي,تطوير البنية التحتية,الخدمات العامة,مختلط,إنشاءات,280000,24,2023-07-28,2025-07-17
الداخلية,المشاريع,الرياض,إقليمي,عقد رقم 2020-032,شركة أرامكو للخدمات,صيانة المباني,التطوير والصيانة,رأسمالي,صيانة,810000,36,2024-09-05,2027-08-21
البلدية,التطوير,حائل,فرعي,عقد رقم 2020-033,مجموعة العليان,إنشاءات جديدة,الخدمات العامة,تشغيلي,إنشاءات,1670000,6,2023-09-27,2024-03-25
البلدية,المشاريع,المدينة,فرعي,عقد رقم 2020-034,شركة المباني الحديثة,تطوير البنية التحتية,المشاريع الاستراتيجية,رأسمالي,مقاولات عامة,5450000,36,2021-01-02,2023-12-18
الدفاع,العمليات,مكة,فرعي,عقد رقم 2020-035,شركة بن لادن السعودية,أعمال النظافة,الخدمات العامة,تشغيلي,خدمات فنية,5860000,18,2021-03-31,2022-09-22
الدفاع,الخدمات,تبوك,إقليمي,عقد رقم 2020-036,شركة بن لادن السعودية,تطوير البنية التحتية,التطوير والصيانة,رأسمالي,خدمات متخصصة,28730000,6,2021-07-24,2022-01-20
الدفاع,العمليات,تبوك,مركزي,عقد رقم 2020-037,مجموعة صافولا,ترميم وتجديد,الخدمات العامة,تشغيلي,إنشاءات,270000,3,2021-06-27,2021-09-25
النقل,المشاريع,الطائف,محلي,عقد رقم 2020-038,مجموعة السعودي الفرنسي,أعمال النظافة,التطوير والصيانة,مختلط,خدمات فنية,470000,48,2023-12-22,2027-12-01
النقل,العمليات,تبوك,إقليمي,عقد رقم 2020-039,مجموعة صافولا,تشغيل وصيانة المرافق,التطوير والصيانة,مختلط,صيانة,4510000,6,2023-09-20,2024-03-18
الإسكان,المشاريع,حائل,إقليمي,عقد رقم 2020-040,مجموعة صافولا,صيانة دورية,مشاريع البنية التحتية,تشغيلي,خدمات فنية,5180000,48,2021-01-27,2025-01-06
الإسكان,العمليات,أبها,محلي,عقد رقم 2020-041,شركة الفطيم للمقاولات,أعمال النظافة,الخدمات العامة,مختلط,مقاولات عامة,7080000,48,2021-03-06,2025-02-13
النقل,الخدمات,الطائف,مركزي,عقد رقم 2020-042,مجموعة العليان,أعمال النظافة,التطوير والصيانة,رأسمالي,صيانة,4380000,12,2024-06-13,2025-06-08
النقل,الصيانة,أبها,محلي,عقد رقم 2020-043,مؤسسة محمد الموسى,ترميم وتجديد,الخدمات العامة,مختلط,مقاولات عامة,290000,3,2020-10-28,2021-01-26
الإسكان,الصيانة,جدة,محلي,عقد رقم 2020-044,مجموعة العليان,إنشاءات جديدة,الصيانة الدورية,تشغيلي,إنشاءات,390000,48,2022-10-09,2026-09-18
الداخلية,المشاريع,أبها,إقليمي,عقد رقم 2020-045,شركة الفطيم للمقاولات,ترميم وتجديد,الصيانة الدورية,تشغيلي,خدمات متخصصة,18140000,18,2023-02-15,2024-08-08
الداخلية,العمليات,مكة,إقليمي,عقد رقم 2020-046,مجموعة الزامل,تطوير المرافق,الخدمات العامة,تشغيلي,مقاولات عامة,5980000,12,2022-07-02,2023-06-27
الدفاع,الخدمات,جدة,فرعي,عقد رقم 2020-047,شركة الراجحي للمقاولات,صيانة الطرق,المشاريع الاستراتيجية,مختلط,صيانة,220000,24,2020-06-07,2022-05-28
الدفاع,الخدمات,أبها,محلي,عقد رقم 2020-048,شركة بن لادن السعودية,صيانة الطرق,المشاريع الاستراتيجية,تشغيلي,خدمات متخصصة,260000,18,2023-12-17,2025-06-09
الداخلية,التطوير,الرياض,إقليمي,عقد رقم 2020-049,شركة عبدالله عبدالمحسن الخضري,أعمال السباكة,المشاريع الاستراتيجية,مختلط,خدمات متخصصة,48630000,3,2023-11-25,2024-02-23
الداخلية,التطوير,الرياض,محلي,عقد رقم 2020-050,شركة أرامكو للخدمات,أعمال النظافة,المشاريع الاستراتيجية,مختلط,صيانة,1070000,18,2024-06-26,2025-12-18
الصحة,التطوير,حائل,مركزي,عقد رقم 2020-051,مجموعة السعودي الفرنسي,أعمال النظافة,المشاريع الاستراتيجية,رأسمالي,مقاولات عامة,45840000,60,2024-09-17,2029-08-22
التعليم,التطوير,الطائف,إقليمي,عقد رقم 2020-052,مجموعة صافولا,أنظمة التكييف,المشاريع الاستراتيجية,تشغيلي,إنشاءات,220000,3,2021-01-07,2021-04-07
الدفاع,المشاريع,جدة,مركزي,عقد رقم 2020-053,شركة بن لادن السعودية,صيانة الطرق,الخدمات العامة,رأسمالي,خدمات متخصصة,2430000,3,2022-08-21,2022-11-19
الصحة,الخدمات,مكة,محلي,عقد رقم 2020-054,شركة المباني الحديثة,أنظمة التكييف,التطوير والصيانة,رأسمالي,خدمات متخصصة,400000,18,2020-11-08,2022-05-02
الدفاع,الصيانة,حائل,مركزي,عقد رقم 2020-055,شركة عبدالله عبدالمحسن الخضري,ترميم وتجديد,المشاريع الاستراتيجية,تشغيلي,صيانة,3370000,6,2023-05-28,2023-11-24
الدفاع,الخدمات,جدة,مركزي,عقد رقم 2020-056,شركة أرامكو للخدمات,صيانة دورية,المشاريع الاستراتيجية,مختلط,خدمات فنية,450000,18,2020-06-04,2021-11-26
البلدية,التطوير,جدة,محلي,عقد رقم 2020-057,شركة أرامكو للخدمات,أعمال النظافة,المشاريع الاستراتيجية,مختلط,صيانة,270000,36,2020-05-21,2023-05-06
الدفاع,الخدمات,القصيم,محلي,عقد رقم 2020-058,شركة الفطيم للمقاولات,أعمال السباكة,الصيانة الدورية,تشغيلي,خدمات فنية,7450000,12,2022-06-10,2023-06-05
الدفاع,التطوير,مكة,محلي,عقد رقم 2020-059,شركة النهدي للتطوير,ترميم وتجديد,المشاريع الاستراتيجية,تشغيلي,إنشاءات,2720000,18,2024-10-10,2026-04-03
الدفاع,العمليات,الطائف,إقليمي,عقد رقم 2020-060,شركة النهدي للتطوير,تشغيل وصيانة المرافق,التطوير والصيانة,مختلط,إنشاءات,160000,36,2022-10-09,2025-09-23
الداخلية,التطوير,القصيم,فرعي,عقد رقم 2020-061,شركة المباني الحديثة,تطوير المرافق,المشاريع الاستراتيجية,تشغيلي,إنشاءات,420000,18,2022-11-24,2024-05-17
التعليم,العمليات,حائل,إقليمي,عقد رقم 2020-062,شركة الفطيم للمقاولات,صيانة دورية,الصيانة الدورية,تشغيلي,مقاولات عامة,410000,24,2020-07-09,2022-06-29
الدفاع,العمليات,المدينة,فرعي,عقد رقم 2020-063,مجموعة السعودي الفرنسي,تشغيل وصيانة المرافق,الخدمات العامة,تشغيلي,إنشاءات,1450000,36,2024-03-07,2027-02-20
الداخلية,العمليات,حائل,إقليمي,عقد رقم 2020-064,مجموعة السعودي الفرنسي,صيانة الطرق,التطوير والصيانة,رأسمالي,خدمات فنية,430000,12,2024-03-01,2025-02-24
التعليم,العمليات,الرياض,مركزي,عقد رقم 2020-065,مجموعة الزامل,أنظمة التكييف,الخدمات العامة,مختلط,مقاولات عامة,330000,24,2021-01-02,2022-12-23
الداخلية,التطوير,الطائف,فرعي,عقد رقم 2020-066,شركة بن لادن السعودية,أنظمة التكييف,المشاريع الاستراتيجية,رأسمالي,إنشاءات,1480000,3,2020-07-29,2020-10-27
الإسكان,الصيانة,الدمام,فرعي,عقد رقم 2020-067,شركة النهدي للتطوير,أنظمة التكييف,مشاريع البنية التحتية,رأسمالي,إنشاءات,380000,60,2022-03-31,2027-03-05
النقل,المشاريع,القصيم,محلي,عقد رقم 2020-068,شركة الفطيم للمقاولات,تطوير المرافق,التطوير والصيانة,مختلط,مقاولات عامة,8630000,48,2023-02-16,2027-01-26
الصحة,المشاريع,مكة,إقليمي,عقد رقم 2020-069,مؤسسة محمد الموسى,تطوير البنية التحتية,الخدمات العامة,رأسمالي,صيانة,8200000,3,2021-09-17,2021-12-16
الداخلية,الخدمات,أبها,إقليمي,عقد رقم 2020-070,شركة بن لادن السعودية,صيانة الطرق,التطوير والصيانة,مختلط,خدمات فنية,260000,6,2023-02-04,2023-08-03
الدفاع,الخدمات,مكة,محلي,عقد رقم 2020-071,مجموعة السعودي الفرنسي,صيانة دورية,الخدمات العامة,مختلط,صيانة,170000,60,2023-12-10,2028-11-13
البلدية,العمليات,حائل,إقليمي,عقد رقم 2020-072,شركة الفطيم للمقاولات,تطوير البنية التحتية,المشاريع الاستراتيجية,مختلط,خدمات فنية,130000,12,2021-06-28,2022-06-23
النقل,التطوير,أبها,مركزي,عقد رقم 2020-073,شركة النهدي للتطوير,صيانة المباني,المشاريع الاستراتيجية,مختلط,خدمات فنية,43580000,48,2023-12-04,2027-11-13
الإسكان,الخدمات,حائل,مركزي,عقد رقم 2020-074,مؤسسة محمد الموسى,أنظمة التكييف,الصيانة الدورية,رأسمالي,صيانة,170000,24,2023-05-21,2025-05-10
النقل,التطوير,أبها,مركزي,عقد رقم 2020-075,شركة الفطيم للمقاولات,الخدمات الكهربائية,المشاريع الاستراتيجية,تشغيلي,خدمات فنية,22170000,60,2022-08-21,2027-07-26
الداخلية,التطوير,المدينة,محلي,عقد رقم 2020-076,مجموعة الزامل,صيانة المباني,المشاريع الاستراتيجية,رأسمالي,خدمات فنية,32130000,6,2023-10-04,2024-04-01
الداخلية,الخدمات,الرياض,محلي,عقد رقم 2020-077,مجموعة صافولا,صيانة المباني,الخدمات العامة,مختلط,خدمات فنية,450000,36,2021-05-31,2024-05-15
الصحة,المشاريع,المدينة,فرعي,عقد رقم 2020-078,شركة عبدالله عبدالمحسن الخضري,تطوير المرافق,المشاريع الاستراتيجية,رأسمالي,إنشاءات,8370000,60,2023-06-29,2028-06-02
النقل,الصيانة,القصيم,محلي,عقد رقم 2020-079,مجموعة السعودي الفرنسي,صيانة الطرق,مشاريع البنية التحتية,تشغيلي,إنشاءات,4600000,18,2023-07-14,2025-01-04
النقل,العمليات,تبوك,محلي,عقد رقم 2020-080,شركة الفطيم للمقاولات,صيانة الطرق,المشاريع الاستراتيجية,مختلط,صيانة,1110000,12,2023-08-19,2024-08-13
الإسكان,المشاريع,جدة,إقليمي,عقد رقم 2020-081,مجموعة صافولا,الخدمات الكهربائية,الصيانة الدورية,تشغيلي,إنشاءات,44100000,18,2022-02-24,2023-08-18
الإسكان,التطوير,الدمام,محلي,عقد رقم 2020-082,مجموعة الزامل,تطوير المرافق,التطوير والصيانة,تشغيلي,خدمات متخصصة,6860000,24,2021-08-02,2023-07-23
البلدية,المشاريع,مكة,محلي,عقد رقم 2020-083,مجموعة العليان,أعمال السباكة,مشاريع البنية التحتية,تشغيلي,مقاولات عامة,1170000,48,2024-04-11,2028-03-21
البلدية,المشاريع,أبها,مركزي,عقد رقم 2020-084,شركة الراجحي للمقاولات,صيانة دورية,الصيانة الدورية,تشغيلي,إنشاءات,1890000,48,2023-12-15,2027-11-24
الصحة,المشاريع,تبوك,فرعي,عقد رقم 2020-085,مجموعة السعودي الفرنسي,تطوير المرافق,التطوير والصيانة,تشغيلي,خدمات متخصصة,280000,60,2024-11-25,2029-10-30
الدفاع,الخدمات,تبوك,إقليمي,عقد رقم 2020-086,مؤسسة محمد الموسى,تشغيل وصيانة المرافق,المشاريع الاستراتيجية,مختلط,إنشاءات,9140000,48,2023-11-19,2027-10-29
الدفاع,المشاريع,جدة,محلي,عقد رقم 2020-087,مجموعة السعودي الفرنسي,أعمال النظافة,مشاريع البنية التحتية,تشغيلي,صيانة,400000,6,2023-06-18,2023-12-15
الدفاع,الصيانة,المدينة,إقليمي,عقد رقم 2020-088,شركة أرامكو للخدمات,أعمال السباكة,الخدمات العامة,رأسمالي,خدمات متخصصة,13080000,24,2023-11-22,2025-11-11
النقل,التطوير,حائل,فرعي,عقد رقم 2020-089,شركة الفطيم للمقاولات,ترميم وتجديد,الخدمات العامة,رأسمالي,مقاولات عامة,90000,12,2022-04-23,2023-04-18
الصحة,التطوير,المدينة,فرعي,عقد رقم 2020-090,مجموعة السعودي الفرنسي,تطوير المرافق,التطوير والصيانة,مختلط,خدمات فنية,1890000,24,2023-07-30,2025-07-19
البلدية,العمليات,مكة,محلي,عقد رقم 2020-091,شركة الفطيم للمقاولات,تطوير البنية التحتية,الخدمات العامة,تشغيلي,خدمات متخصصة,5830000,48,2023-08-01,2027-07-11
الصحة,التطوير,المدينة,مركزي,عقد رقم 2020-092,شركة النهدي للتطوير,أعمال النظافة,مشاريع البنية التحتية,مختلط,مقاولات عامة,29810000,24,2022-01-05,2023-12-26
النقل,العمليات,مكة,فرعي,عقد رقم 2020-093,شركة النهدي للتطوير,أنظمة التكييف,الخدمات العامة,مختلط,إنشاءات,3930000,24,2024-09-01,2026-08-22
الصحة,الخدمات,الطائف,فرعي,عقد رقم 2020-094,مجموعة السعودي الفرنسي,أنظمة التكييف,التطوير والصيانة,مختلط,مقاولات عامة,1420000,3,2023-07-09,2023-10-07
الدفاع,الخدمات,القصيم,إقليمي,عقد رقم 2020-095,شركة الراجحي للمقاولات,أنظمة التكييف,المشاريع الاستراتيجية,تشغيلي,خدمات فنية,330000,18,2020-12-25,2022-06-18
التعليم,المشاريع,تبوك,إقليمي,عقد رقم 2020-096,مجموعة السعودي الفرنسي,أعمال السباكة,مشاريع البنية التحتية,تشغيلي,خدمات متخصصة,650000,6,2024-07-05,2025-01-01
الدفاع,الخدمات,تبوك,إقليمي,عقد رقم 2020-097,مجموعة السعودي الفرنسي,أعمال النظافة,الخدمات العامة,تشغيلي,إنشاءات,1910000,60,2020-09-10,2025-08-15
الإسكان,الصيانة,أبها,إقليمي,عقد رقم 2020-098,مؤسسة محمد الموسى,أعمال السباكة,مشاريع البنية التحتية,رأسمالي,إنشاءات,24850000,36,2023-06-22,2026-06-06
الصحة,المشاريع,القصيم,فرعي,عقد رقم 2020-099,مجموعة صافولا,تطوير المرافق,التطوير والصيانة,مختلط,خدمات متخصصة,17790000,24,2020-03-17,2022-03-07
البلدية,التطوير,حائل,محلي,عقد رقم 2020-100,شركة عبدالله عبدالمحسن الخضري,صيانة المباني,التطوير والصيانة,رأسمالي,مقاولات عامة,16640000,12,2022-05-08,2023-05-03
الإسكان,العمليات,القصيم,إقليمي,عقد رقم 2021-001,شركة بن لادن السعودية,أعمال السباكة,التطوير والصيانة,رأسمالي,إنشاءات,16660000,18,2022-06-29,2023-12-21
الإسكان,الخدمات,الرياض,مركزي,عقد رقم 2021-002,شركة أرامكو للخدمات,صيانة الطرق,الخدمات العامة,مختلط,صيانة,160000,60,2024-10-02,2029-09-06
الدفاع,المشاريع,حائل,مركزي,عقد رقم 2021-003,شركة عبدالله عبدالمحسن الخضري,إنشاءات جديدة,الخدمات العامة,مختلط,خدمات فنية,980000,18,2020-05-20,2021-11-11
التعليم,الصيانة,الطائف,فرعي,عقد رقم 2021-004,شركة النهدي للتطوير,الخدمات الكهربائية,مشاريع البنية التحتية,رأسمالي,خدمات فنية,60000,12,2024-06-23,2025-06-18
الصحة,الصيانة,أبها,محلي,عقد رقم 2021-005,شركة أرامكو للخدمات,صيانة دورية,الصيانة الدورية,رأسمالي,مقاولات عامة,6410000,12,2020-04-17,2021-04-12
الإسكان,الخدمات,المدينة,محلي,عقد رقم 2021-006,مؤسسة محمد الموسى,صيانة المباني,مشاريع البنية التحتية,تشغيلي,مقاولات عامة,12910000,18,2022-10-28,2024-04-20
الصحة,الصيانة,الطائف,فرعي,عقد رقم 2021-007,مجموعة السعودي الفرنسي,إنشاءات جديدة,التطوير والصيانة,مختلط,خدمات متخصصة,1430000,6,2022-05-23,2022-11-19
النقل,العمليات,أبها,محلي,عقد رقم 2021-008,مجموعة السعودي الفرنسي,تشغيل وصيانة المرافق,مشاريع البنية التحتية,مختلط,خدمات متخصصة,1750000,36,2023-01-28,2026-01-12
الداخلية,العمليات,أبها,محلي,عقد رقم 2021-009,مجموعة صافولا,تشغيل وصيانة المرافق,مشاريع البنية التحتية,تشغيلي,مقاولات عامة,970000,18,2024-01-16,2025-07-09
الإسكان,التطوير,جدة,مركزي,عقد رقم 2021-010,مجموعة السعودي الفرنسي,تطوير البنية التحتية,المشاريع الاستراتيجية,رأسمالي,خدمات فنية,820000,24,2021-10-02,2023-09-22
النقل,الخدمات,الطائف,مركزي,عقد رقم 2021-011,مجموعة صافولا,الخدمات الكهربائية,المشاريع الاستراتيجية,مختلط,إنشاءات,1720000,12,2024-07-20,2025-07-15
النقل,المشاريع,الدمام,محلي,عقد رقم 2021-012,مجموعة العليان,تطوير البنية التحتية,التطوير والصيانة,مختلط,خدمات فنية,1710000,24,2021-08-12,2023-08-02
البلدية,الخدمات,حائل,مركزي,عقد رقم 2021-013,شركة النهدي للتطوير,أعمال النظافة,التطوير والصيانة,رأسمالي,صيانة,1390000,24,2020-08-23,2022-08-13
الصحة,المشاريع,الدمام,محلي,عقد رقم 2021-014,مجموعة السعودي الفرنسي,إنشاءات جديدة,مشاريع البنية التحتية,رأسمالي,خدمات متخصصة,33550000,24,2021-07-13,2023-07-03
التعليم,العمليات,المدينة,إقليمي,عقد رقم 2021-015,شركة النهدي للتطوير,ترميم وتجديد,مشاريع البنية التحتية,رأسمالي,صيانة,1210000,48,2021-03-16,2025-02-23
الداخلية,التطوير,أبها,محلي,عقد رقم 2021-016,مجموعة صافولا,أنظمة التكييف,الخدمات العامة,مختلط,إنشاءات,4280000,3,2020-11-18,2021-02-16
الإسكان,الخدمات,أبها,إقليمي,عقد رقم 2021-017,شركة بن لادن السعودية,صيانة الطرق,المشاريع الاستراتيجية,مختلط,إنشاءات,400000,48,2021-12-07,2025-11-16
البلدية,المشاريع,المدينة,إقليمي,عقد رقم 2021-018,شركة أرامكو للخدمات,تطوير البنية التحتية,مشاريع البنية التحتية,تشغيلي,مقاولات عامة,940000,18,2020-01-16,2021-07-09
التعليم,الخدمات,القصيم,إقليمي,عقد رقم 2021-019,مجموعة السعودي الفرنسي,أعمال السباكة,مشاريع البنية التحتية,تشغيلي,إنشاءات,1970000,12,2020-12-25,2021-12-20
الداخلية,الخدمات,تبوك,محلي,عقد رقم 2021-020,شركة عبدالله عبدالمحسن الخضري,تطوير البنية التحتية,المشاريع الاستراتيجية,رأسمالي,خدمات فنية,48630000,6,2022-07-30,2023-01-26
الدفاع,الصيانة,تبوك,مركزي,عقد رقم 2021-021,مجموعة العليان,أعمال السباكة,الصيانة الدورية,تشغيلي,خدمات متخصصة,9710000,60,2020-12-17,2025-11-21
التعليم,العمليات,الدمام,مركزي,عقد رقم 2021-022,مجموعة الزامل,أعمال النظافة,مشاريع البنية التحتية,مختلط,خدمات متخصصة,32780000,48,2020-06-10,2024-05-20
البلدية,المشاريع,مكة,مركزي,عقد رقم 2021-023,شركة الراجحي للمقاولات,أنظمة التكييف,الخدمات العامة,رأسمالي,خدمات متخصصة,1850000,36,2021-02-01,2024-01-17
الإسكان,التطوير,أبها,محلي,عقد رقم 2021-024,مؤسسة محمد الموسى,ترميم وتجديد,الصيانة الدورية,تشغيلي,خدمات فنية,450000,6,2020-11-09,2021-05-08
الإسكان,العمليات,المدينة,مركزي,عقد رقم 2021-025,شركة أرامكو للخدمات,صيانة دورية,مشاريع البنية التحتية,تشغيلي,مقاولات عامة,280000,60,2020-11-05,2025-10-10
الدفاع,الصيانة,جدة,محلي,عقد رقم 2021-026,شركة الفطيم للمقاولات,ترميم وتجديد,الصيانة الدورية,مختلط,إنشاءات,480000,3,2022-07-14,2022-10-12
النقل,المشاريع,الرياض,محلي,عقد رقم 2021-027,مجموعة السعودي الفرنسي,الخدمات الكهربائية,مشاريع البنية التحتية,مختلط,صيانة,1490000,18,2022-07-10,2024-01-01
النقل,الخدمات,حائل,فرعي,عقد رقم 2021-028,شركة أرامكو للخدمات,الخدمات الكهربائية,التطوير والصيانة,تشغيلي,مقاولات عامة,5680000,18,2020-03-21,2021-09-12
البلدية,العمليات,جدة,إقليمي,عقد رقم 2021-029,مجموعة السعودي الفرنسي,صيانة دورية,المشاريع الاستراتيجية,تشغيلي,خدمات فنية,2430000,36,2024-05-05,2027-04-20
الإسكان,المشاريع,الطائف,إقليمي,عقد رقم 2021-030,مؤسسة محمد الموسى,تشغيل وصيانة المرافق,المشاريع الاستراتيجية,رأسمالي,خدمات متخصصة,1720000,12,2024-01-22,2025-01-16
الإسكان,العمليات,الدمام,مركزي,عقد رقم 2021-031,مؤسسة محمد الموسى,أعمال النظافة,المشاريع الاستراتيجية,مختلط,خدمات فنية,1280000,6,2023-12-22,2024-06-19
الدفاع,التطوير,مكة,فرعي,عقد رقم 2021-032,شركة الراجحي للمقاولات,إنشاءات جديدة,مشاريع البنية التحتية,تشغيلي,إنشاءات,940000,36,2020-02-07,2023-01-22
البلدية,الخدمات,الدمام,محلي,عقد رقم 2021-033,شركة الراجحي للمقاولات,إنشاءات جديدة,الخدمات العامة,مختلط,خدمات متخصصة,9350000,3,2022-11-05,2023-02-03
الداخلية,العمليات,مكة,محلي,عقد رقم 2021-034,شركة النهدي للتطوير,أنظمة التكييف,المشاريع الاستراتيجية,رأسمالي,خدمات متخصصة,2360000,12,2024-07-14,2025-07-09
البلدية,المشاريع,الطائف,محلي,عقد رقم 2021-035,شركة الفطيم للمقاولات,أنظمة التكييف,المشاريع الاستراتيجية,مختلط,خدمات متخصصة,41470000,24,2021-05-04,2023-04-24
